"time"	"h"	"uh"	"Period"
0	10192	0	1
1	10184	0	1
2	10175	0	1
3	10155	0	1
4	10150	0	1
6	10139	0	1
8	10139	0	1
9	10133	0	1
10	10133	0	1
11	10133	0	1
12	10128	0	1
13	10128	0	1
19	10128	0	1
23	10128	0	1
24	10125	0	1
25	10122	0	1
27	10117	0	1
28	10111	0	1
29	10108	0	1
30	10108	0	1
31	10106	0	1
47	10100	0	1
48	10095	0	1
49	10089	0	1
50	10084	0	1
51	10084	0	1
52	10081	0	1
53	10075	0	1
67	10067	0	1
68	10067	0	1
69	10067	0	1
76	10067	0	1
77	10061	0	1
78	10058	0	1
79	10052	0	1
80	10050	0	1
81	10050	0	1
82	10050	0	1
83	10050	0	1
93	10050	0	1
94	10050	0	1
100	10050	0	1
101	10044	0	1
102	10039	0	1
0	10367	0	2
1	10333	0	2
2	10325	0	2
3	10317	0	2
4	10317	0	2
5	10292	0	2
6	10275	0	2
26	10267	0	2
27	10250	0	2
28	10233	0	2
32	10217	0	2
33	10200	0	2
34	10192	0	2
35	10175	0	2
36	10167	0	2
37	10158	0	2
38	10150	0	2
39	10150	0	2
59	10150	0	2
62	10150	0	2
63	10150	0	2
64	10150	0	2
65	10150	0	2
66	10141	0	2
67	10141	0	2
68	10133	0	2
69	10133	0	2
70	10125	0	2
71	10117	0	2
72	10117	0	2
73	10117	0	2
74	10117	0	2
75	10108	0	2
76	10108	0	2
77	10108	0	2
78	10100	0	2
79	10100	0	2
80	10100	0	2
81	10100	0	2
82	10100	0	2
83	10092	0	2
84	10092	0	2
88	10092	0	2
89	10092	0	2
96	10092	0	2
97	10084	0	2
98	10084	0	2
99	10075	0	2
100	10075	0	2
111	10075	0	2
112	10067	0	2
113	10067	0	2
119	10067	0	2
120	10058	0	2
121	10058	0	2
122	10050	0	2
123	10041	0	2
124	10041	0	2
143	10041	0	2
179	10041	0	2
180	10041	0	2
181	10033	0	2
182	10033	0	2
183	10033	0	2
184	10025	0	2
185	10025	0	2
186	10017	0	2
187	10017	0	2
188	10017	0	2
189	10017	0	2
190	10008	0	2
191	10008	0	2
240	10008	0	2
241	10008	0	2
242	10000	0	2
243	10000	0	2
244	9994	0	2
245	9989	0	2
246	9983	0	2
247	9978	0	2
248	9978	0	2
249	9978	0	2
250	9975	0	2
251	9975	0	2
252	9975	0	2
253	9975	0	2
254	9975	0	2
255	9975	0	2
0	10133	0	3
1	10125	0	3
2	10108	0	3
