Day;Month;Year;Hour;Minutes;h;Q;Qsigma;Period;Validity;;;;
7;11;2001;16;30;0.17;1.52;7;18;1;07/11/2001;16:30:00;07/11/2001 16:30;37202.6875
4;12;2001;14;45;0.1;0.727;7;18;1;04/12/2001;14:45:00;04/12/2001 14:45;37229.6146
10;1;2002;14;0;0.06;0.5;7;18;1;10/01/2002;14:00:00;10/01/2002 14:00;37266.5833
13;2;2002;16;45;0.08;1.11;7;18;1;13/02/2002;16:45:00;13/02/2002 16:45;37300.6979
23;4;2002;17;45;0.17;1.74;7;18;1;23/04/2002;17:45:00;23/04/2002 17:45;37369.7396
2;5;2002;13;40;0.22;2.37;7;18;1;02/05/2002;13:40:00;02/05/2002 13:40;37378.5694
19;6;2002;17;0;0.12;1.14;7;18;1;19/06/2002;17:00:00;19/06/2002 17:00;37426.7083
12;8;2002;11;25;0.015;0.277;7;18;1;12/08/2002;11:25:00;12/08/2002 11:25;37480.4757
12;9;2002;18;0;0.155;1.45;7;18;1;12/09/2002;18:00:00;12/09/2002 18:00;37511.75
15;11;2002;12;5;1.02;28.5;10;17;1;15/11/2002;12:05:00;15/11/2002 12:05;37575.5035
18;12;2002;15;45;0.46;7.83;7;16;1;18/12/2002;15:45:00;18/12/2002 15:45;37608.6563
28;1;2003;15;40;0.22;2.59;7;16;1;28/01/2003;15:40:00;28/01/2003 15:40;37649.6528
14;5;2003;15;50;0.12;1.2;7;16;1;14/05/2003;15:50:00;14/05/2003 15:50;37755.6597
25;6;2003;16;30;0;0.25;7;16;1;25/06/2003;16:30:00;25/06/2003 16:30;37797.6875
24;7;2003;14;0;0.07;0.598;7;16;1;24/07/2003;14:00:00;24/07/2003 14:00;37826.5833
24;9;2003;16;45;0;0.143;7;16;1;24/09/2003;16:45:00;24/09/2003 16:45;37888.6979
28;10;2003;17;15;0.09;0.606;7;16;1;28/10/2003;17:15:00;28/10/2003 17:15;37922.7188
24;11;2003;13;35;1.98;96.6;10;15;1;24/11/2003;13:35:00;24/11/2003 13:35;37949.566
21;1;2004;16;30;0.18;2.04;7;14;1;21/01/2004;16:30:00;21/01/2004 16:30;38007.6875
2;3;2004;16;45;0.28;3.45;7;14;1;02/03/2004;16:45:00;02/03/2004 16:45;38048.6979
12;5;2004;17;0;0.265;3.17;7;14;1;12/05/2004;17:00:00;12/05/2004 17:00;38119.7083
15;6;2004;17;15;0.06;0.629;7;14;1;15/06/2004;17:15:00;15/06/2004 17:15;38153.7188
30;9;2004;10;0;0.05;0.247;7;14;1;30/09/2004;10:00:00;30/09/2004 10:00;38260.4167
26;10;2004;12;30;0.52;9.5;10;14;1;26/10/2004;12:30:00;26/10/2004 12:30;38286.5208
28;10;2004;13;20;1.61;63.9;10;14;1;28/10/2004;13:20:00;28/10/2004 13:20;38288.5556
21;12;2004;16;25;0.145;1.69;10;13;1;21/12/2004;16:25:00;21/12/2004 16:25;38342.684
14;4;2005;9;30;0.12;0.978;7;13;1;14/04/2005;09:30:00;14/04/2005 09:30;38456.3958
5;7;2005;18;15;-0.005;0.226;7;13;1;05/07/2005;18:15:00;05/07/2005 18:15;38538.7604
25;8;2005;14;45;-0.045;0.12;7;13;1;25/08/2005;14:45:00;25/08/2005 14:45;38589.6146
22;11;2005;16;35;0.25;2.88;7;12;1;22/11/2005;16:35:00;22/11/2005 16:35;38678.691
3;5;2006;16;45;0.14;1.49;7;12;1;03/05/2006;16:45:00;03/05/2006 16:45;38840.6979
8;8;2006;16;30;-0.015;0.129;7;12;1;08/08/2006;16:30:00;08/08/2006 16:30;38937.6875
8;11;2006;17;0;0.19;1.93;7;11;1;08/11/2006;17:00:00;08/11/2006 17:00;39029.7083
9;1;2007;14;52;0.12;1.28;7;10;1;09/01/2007;14:52:00;09/01/2007 14:52;39091.6194
19;4;2007;15;50;0.175;2;7;10;1;19/04/2007;15:50:00;19/04/2007 15:50;39191.6597
15;5;2007;13;45;0.39;5.92;7;10;1;15/05/2007;13:45:00;15/05/2007 13:45;39217.5729
9;7;2007;17;0;0.07;0.709;7;10;1;09/07/2007;17:00:00;09/07/2007 17:00;39272.7083
3;10;2007;16;15;-0.025;0.196;7;10;1;03/10/2007;16:15:00;03/10/2007 16:15;39358.6771
23;4;2008;17;0;0.68;15.9;5;8;1;23/04/2008;17:00:00;23/04/2008 17:00;39561.7083
17;6;2008;12;0;0.28;3.65;7;8;1;17/06/2008;12:00:00;17/06/2008 12:00;39616.5
9;9;2008;16;40;0.02;0.386;10;8;1;09/09/2008;16:40:00;09/09/2008 16:40;39700.6944
27;11;2008;11;55;-0.245;2.03;7;7;1;27/11/2008;11:55:00;27/11/2008 11:55;39779.4965
3;2;2009;11;6;1.06;44.1;10;7;1;03/02/2009;11:06:00;03/02/2009 11:06;39847.4625
10;3;2009;16;10;-0.25;1.97;7;7;1;10/03/2009;16:10:00;10/03/2009 16:10;39882.6736
22;2;2010;10;36;0.1;10.5;5;7;1;22/02/2010;10:36:00;22/02/2010 10:36;40231.4417
30;3;2010;11;21;0.23;12.8;5;7;1;30/03/2010;11:21:00;30/03/2010 11:21;40267.4729
2;6;2010;11;35;-0.26;1.63;5;7;1;02/06/2010;11:35:00;02/06/2010 11:35;40331.4826
8;7;2010;11;55;-0.36;0.602;7;7;1;08/07/2010;11:55:00;08/07/2010 11:55;40367.4965
19;7;2010;8;57;-0.4;0.366;7;7;1;19/07/2010;08:57:00;19/07/2010 08:57;40378.3729
27;7;2010;8;55;-0.41;0.314;7;7;1;27/07/2010;08:55:00;27/07/2010 08:55;40386.3715
4;8;2010;8;15;-0.405;0.273;7;7;1;04/08/2010;08:15:00;04/08/2010 08:15;40394.3438
11;8;2010;7;40;-0.43;0.166;7;7;1;11/08/2010;07:40:00;11/08/2010 07:40;40401.3194
19;8;2010;8;45;-0.43;0.181;7;7;1;19/08/2010;08:45:00;19/08/2010 08:45;40409.3646
25;8;2010;8;20;-0.435;0.154;7;7;1;25/08/2010;08:20:00;25/08/2010 08:20;40415.3472
2;9;2010;11;30;-0.445;0.102;7;7;1;02/09/2010;11:30:00;02/09/2010 11:30;40423.4792
9;11;2010;12;50;-0.11;5.77;5;5;1;09/11/2010;12:50:00;09/11/2010 12:50;40491.5347
15;11;2010;12;14;0.55;34.9;5;5;1;15/11/2010;12:14:00;15/11/2010 12:14;40497.5097
7;1;2011;10;13;-0.1;5.34;5;4;1;07/01/2011;10:13:00;07/01/2011 10:13;40550.4257
23;2;2011;10;44;-0.23;2.27;5;4;1;23/02/2011;10:44:00;23/02/2011 10:44;40597.4472
2;3;2011;10;39;-0.27;1.98;5;4;1;02/03/2011;10:39:00;02/03/2011 10:39;40604.4438
7;3;2011;10;51;-0.29;1.7;5;4;1;07/03/2011;10:51:00;07/03/2011 10:51;40609.4521
11;3;2011;10;10;-0.31;1.42;5;4;1;11/03/2011;10:10:00;11/03/2011 10:10;40613.4236
14;3;2011;13;8;0.32;18.6;5;4;1;14/03/2011;13:08:00;14/03/2011 13:08;40616.5472
3;5;2011;11;9;-0.36;1.06;5;4;1;03/05/2011;11:09:00;03/05/2011 11:09;40666.4646
13;5;2011;11;48;-0.39;0.672;5;4;1;13/05/2011;11:48:00;13/05/2011 11:48;40676.4917
17;5;2011;9;12;-0.39;0.65;5;4;1;17/05/2011;09:12:00;17/05/2011 09:12;40680.3833
18;5;2011;9;0;-0.39;0.521;7;4;1;18/05/2011;09:00:00;18/05/2011 09:00;40681.375
18;5;2011;9;30;-0.39;0.541;7;4;1;18/05/2011;09:30:00;18/05/2011 09:30;40681.3958
18;5;2011;11;13;-0.39;0.692;5;4;1;18/05/2011;11:13:00;18/05/2011 11:13;40681.4674
