h (cm);Q (m3/s);uQ (%);Date
43;3.81;10;09/01/2018 11:10
41.3;3.67;10;13/02/2018 13:10
59.2;7.02;10;20/03/2018 09:45
29.6;1.92;10;24/04/2018 12:00
27.3;1.61;10;07/05/2018 13:40
48.3;4.81;10;20/06/2018 11:50
23.2;1.18;10;17/07/2018 12:10
19.6;0.769;10;26/07/2018 09:05
21;0.539;10;08/08/2018 14:45
18;0.37;10;28/08/2018 10:20
18.2;0.294;10;20/09/2018 09:00
20.2;0.361;10;10/10/2018 12:00
38.7;3.01;10;07/11/2018 13:15
26;1.26;10;20/11/2018 12:55
26.8;1.6;10;08/01/2019 09:35
56.4;6.26;10;12/02/2019 09:30
34.3;2.46;10;19/03/2019 10:40
37.5;2.92;10;30/04/2019 09:40
21.7;1.04;10;05/06/2019 13:00
13;0.382;10;18/07/2019 08:30
20.4;0.5;10;30/07/2019 09:50
19.9;0.789;10;20/08/2019 08:25
13;0.27;10;18/09/2019 10:00
13.1;0.259;10;01/10/2019 10:20
38.8;3.07;10;20/11/2019 10:00
31;2.22;10;21/01/2020 13:30
21.7;1.07;10;25/02/2020 09:55
28;1.8;10;12/03/2020 10:00
20.5;1.04;10;19/05/2020 12:30
16.2;0.748;10;27/05/2020 10:30
24.8;1.45;10;25/06/2020 12:40
22.8;0.851;10;23/07/2020 12:20
27.5;0.415;10;04/08/2020 12:00
14;0.335;10;21/08/2020 08:00
10;0.208;10;15/09/2020 09:50
28.7;1.39;10;30/09/2020 07:05
30;1.62;10;06/11/2020 15:00
24.8;1.2;10;08/12/2020 14:00
45.7;3.95;10;18/01/2021 12:05
49.5;4.69;10;12/02/2021 08:30
35;2.6;10;01/03/2021 12:55
30.4;1.92;10;12/04/2021 11:30
174;52.9;10;11/05/2021 00:40
179.5;56.1;10;11/05/2021 02:40
21;1.03;10;01/07/2021 09:20
21;1.1;10;01/07/2021 10:10
30.9;1.68;10;10/08/2021 09:50
17.2;0.636;10;08/09/2021 07:40
20;0.737;10;28/09/2021 12:25
22.8;1;10;25/10/2021 15:40
28.8;1.57;10;18/11/2021 14:30
34.8;2.22;10;07/12/2021 08:45
50.1;5.17;10;28/12/2021 10:30
31.2;2.25;10;15/02/2022 10:40
30.2;2.17;10;23/02/2022 10:10
27.8;1.84;10;26/04/2022 09:55
