Date (TU);Valeur (en m)
01/01/2018 02:10;0.39
01/01/2018 03:20;0.4
01/01/2018 04:45;0.39
01/01/2018 09:50;0.39
01/01/2018 12:20;0.39
01/01/2018 17:00;0.39
01/01/2018 18:05;0.39
01/01/2018 19:10;0.4
01/01/2018 21:45;0.41
02/01/2018 00:45;0.42
02/01/2018 07:05;0.4
02/01/2018 15:15;0.39
02/01/2018 15:55;0.38
02/01/2018 16:50;0.39
02/01/2018 21:05;0.38
02/01/2018 22:25;0.38
03/01/2018 07:30;0.38
03/01/2018 10:10;0.38
03/01/2018 11:15;0.37
03/01/2018 12:30;0.38
03/01/2018 13:40;0.38
03/01/2018 18:15;0.38
03/01/2018 19:50;0.39
03/01/2018 20:15;0.39
03/01/2018 21:20;0.42
03/01/2018 21:35;0.42
03/01/2018 21:55;0.42
03/01/2018 22:10;0.41
03/01/2018 22:50;0.43
03/01/2018 23:30;0.44
04/01/2018 00:15;0.44
04/01/2018 01:15;0.46
04/01/2018 02:05;0.48
04/01/2018 03:00;0.5
04/01/2018 05:35;0.52
04/01/2018 06:20;0.53
04/01/2018 07:25;0.53
04/01/2018 08:55;0.53
04/01/2018 11:35;0.51
04/01/2018 12:15;0.51
04/01/2018 12:55;0.5
04/01/2018 13:40;0.5
04/01/2018 14:10;0.5
04/01/2018 14:50;0.49
04/01/2018 18:45;0.47
04/01/2018 19:55;0.44
04/01/2018 20:25;0.46
05/01/2018 03:00;0.44
05/01/2018 04:00;0.45
05/01/2018 06:20;0.44
05/01/2018 10:00;0.45
05/01/2018 12:40;0.44
05/01/2018 13:25;0.45
05/01/2018 14:15;0.44
05/01/2018 16:10;0.43
05/01/2018 19:10;0.43
05/01/2018 20:05;0.43
05/01/2018 22:25;0.42
05/01/2018 23:05;0.43
06/01/2018 00:00;0.42
06/01/2018 00:55;0.42
06/01/2018 01:30;0.42
06/01/2018 02:30;0.42
06/01/2018 04:00;0.42
06/01/2018 08:05;0.42
06/01/2018 09:20;0.43
06/01/2018 10:50;0.43
06/01/2018 13:50;0.44
06/01/2018 15:50;0.44
06/01/2018 17:15;0.43
06/01/2018 18:40;0.43
06/01/2018 20:40;0.42
